,sentence,label
93,"Die (personenbeziehbaren) Daten werden gelöscht, sobald sie für die Erreichung des Zweckes ihrer Erhebung nicht mehr erforderlich sind.",None
94,Im Falle der Erfassung der (personenbeziehbaren) Daten für Marketingzwecke ist dies nach 30 Tagen der Fall.,None
95,"Im Falle der Erfassung der Daten zur Bereitstellung der Webseite ist dies der Fall, wenn der jeweilige Besuch unserer Webseite beendet ist.",None
96,"

f) Widerspruchs- und Beseitigungsmöglichkeit

",None
97,Cookies werden auf dem Rechner des Nutzers gespeichert und von diesem an unsere Webseite übermittelt.,None
98,Daher haben Sie als Nutzer auch die volle Kontrolle über die Verwendung von technisch notwendigen Cookies.,None
99,Durch eine Änderung der Einstellungen in Ihrem Browser können Sie die Übertragung von technisch notwendigen Cookies deaktivieren oder einschränken.,None
100,Bereits gespeicherte Cookies können jederzeit gelöscht werden.,None
101,Dies kann auch automatisiert erfolgen.,None
102,"Werden technisch notwendige Cookies für unsere Webseite deaktiviert, können möglicherweise nicht mehr alle Funktionen der Webseite vollumfänglich genutzt werden.",None
103,"



3.",None
104,"Cookies zu Analyse-Zwecken

a)",None
105,Beschreibung und Umfang der Datenverarbeitung,None
106,"

",None
107,"Wir verwenden auf unserer Webseite darüber hinaus Cookies, die eine Analyse des Surfverhaltens der Nutzer oder der Effektivität von Kommunikationsmaßnahmen ermöglichen.",None
108,"

Hierfür werden insbesondere folgende Daten verarbeitet:",None
109,"

Eingegebene Suchbegriffe",None
110,"
",None
111,Häufigkeit von Webseitenaufrufen/,None
112,"Zielwebseiten
Konversionsart (Registrierung oder Anmeldung)",None
113,"
",None
114,"Angeklickte Werbemittel
",None
115,Darüber hinaus werden abhängig von dem verwendeten Analyse-Tool gegebenenfalls weitere Daten erhoben (siehe c) Zweck der Datenverarbeitung).,None
116,"Wenn Sie LOTTO.de als Progressive Web App (PWA) auf iOS-Geräten nutzen, werden keine Cookies zu Analyse-Zwecken auf Ihrem Endgerät gesetzt.",None
117,"

b)",None
118,Rechtsgrundlage für die Datenverarbeitung,None
119,"

",None
120,Die Rechtsgrundlage für die Verarbeitung personenbezogener Daten unter Verwendung von Cookies zu Analysezwecken ist bei Vorliegen einer diesbezüglichen Einwilligung des Nutzers Art. 6 Abs. 1 lit.,None
121,a),None
122,DS-GVO.,None
123,"

Diese können Sie frei geben oder verweigern.",None
124,"Die Einwilligungsoptionen sehen Sie, wenn Sie unsere Webseite zum ersten Mal besuchen.",None
125,"Sie können Ihre Entscheidungen jederzeit anpassen, indem Sie Ihre Privatsphäre-Einstellungen ändern.",None
126,"

c) Zweck der Datenverarbeitung

",None
127,"Die Verwendung der Analyse-Cookies erfolgt zu dem Zweck, die Qualität unserer Webseite und unserer Online-Kommunikationsmaßnahmen, mit denen wir Nutzer ansprechen, zu verbessern.",None
128,"Durch die Analyse-Cookies erfahren wir, über welche Werbemittel oder Suchbegriffe Nutzer auf unsere Webseite gelangt sind und können so unser Angebot stetig optimieren.",None
129,"

Auf diese Weise nutzen wir Ihre Daten, wenn Sie uns die entsprechenden Einwilligungen geben:",None
130,"

Webanalyse und A/B-Tests mit Piwik",None
131,"PRO

Zweck: Verbesserung der Benutzeroberfläche, Optimierung der Webseiten-Inhalte
",None
132,Folgende persönliche Daten werden verwendet:,None
133,"Browser-Cookie, Surfverhalten auf LOTTO.de, Geräteinformation, um ein Byte gekürzte (anonymisierte) IP-Adresse des aufrufenden Systems des Nutzers
First Party Tools: Piwik",None
134,"PRO
",None
135,Conversion,None
136,Tracking,None
137,"

Zweck: Darstellung unserer Anzeigen auf anderen Webseiten
",None
138,Folgende persönliche Daten werden verwendet:,None
139,"Browser-Cookie, Surfverhalten auf LOTTO.de, IP-Adresse (die Anonymisierung der IP-Adresse ist anbieterabhängig)
Third Party Tools: Google AdWords Conversion Tracking, Microsoft Conversion Tracking",None
140,"

",None
141,"Weitere Informationen zur Datenverarbeitung finden Sie in den Datenschutzerklärungen der genannten Unternehmen, die Sie unter folgenden Links aufrufen können:",None
142,"

Piwik",None
143,PRO Datenschutzerklärung,None
144,"
Google",None
145,"Datenschutzerklärung
Microsoft",None
146,"Datenschutzerklärung

d) Dauer der Speicherung

",None
147,"Die Daten werden gelöscht, sobald sie für die Erreichung des Zweckes ihrer Erhebung nicht mehr erforderlich sind.",None
148,Im Falle von Google AdWords,None
149,Conversion Tracking und Microsoft Conversion,None
150,Tracking ist dies nach 30 Tagen der Fall.,None
151,Im Falle von Piwik PRO ist das nach 3 Jahren der Fall.,None
152,"

e) Widerspruchs- und Beseitigungsmöglichkeit

",None
153,"Sie können Ihre Einwilligung jederzeit widerrufen, indem Sie die folgenden Privatsphäre-Einstellungen anpassen:",None
154,"

Privatsphäre-Einstellungen
Verwalten Sie hier Ihre Einstellungen zum Datenschutz und Ihre Einstellungen für die LOTTO.de Webseite.",None
155,"Wir erfassen Daten, um Ihre Erfahrung auf unserer Webseite stetig zu verbessern.",None
156,"Wir sammeln und nutzen Daten nur für Zwecke, für die eine Einwilligung vorliegt.",None
157,"

Einstellungen bearbeiten

Darüber hinaus haben Sie die Möglichkeit, über Einstellungen in Ihrem Internetbrowser die Übertragung von Cookies zu deaktivieren oder einzuschränken.",None
158,Bereits gespeicherte Cookies können jederzeit gelöscht werden.,None
159,Dies kann auch automatisiert erfolgen.,None
160,"Über folgendes Formular können Sie anfragen, welche Daten zu Analyse-Zwecken derzeit bei uns gespeichert sind.",None
161,"

Datenschutz-Anfrage: Formular für betroffene Personen
Wählen Sie die Art der Datenschutz-Anfrage und teilen Sie uns Ihr Anliegen mit.",None
162,"Wir werden unser Bestes tun, um Ihre Anfrage schnellstmöglich und vollständig zu beantworten.",None
163,Hierzu benötigen wir Ihre E-Mail-Adresse.,None
164,Wir werden Ihre E-Mail-Adresse für keinen anderen Zweck außer der Bearbeitung Ihrer Anfrage verwenden.,None
165,"

E-Mail
Art der Anfrage",None
166,"
Nachricht an den Webseiten-Administrator
",None
167,"Anfrage senden
VI.",None
168,Registrierung/Anmeldung,None
169,"
",None
170,"1. Beschreibung und Umfang der Datenverarbeitung

LOTTO.de ist eine Serviceplattform, auf der Spieltipps für unterschiedliche Lotterien vorbereitet werden können.",None
171,Über eine Eingabemaske können sich Nutzer über LOTTO.de bei der Landeslotteriegesellschaft des Bundeslandes des Nutzers anmelden oder zum Registrierungsprozess gelangen.,None
172,Die personenbezogenen Daten des Nutzers werden ausschließlich von der jeweiligen Landeslotteriegesellschaft des Bundeslands des Nutzers verarbeitet.,None
173,"LOTTO.de speichert ausschließlich die E-Mail-Adresse des Nutzers in anonymisierter Form durch Umwandlung in einen Hashwert, um zu prüfen, ob der Nutzer bereits registrierter Kunde einer Landeslotteriegesellschaft ist.",None
174,Auf den Webseiten der jeweiligen Landeslotteriegesellschaft des Bundeslandes des Nutzers sind weiterführende Informationen zu den jeweiligen Datenschutzbestimmungen vorhanden.,None
175,"

",None
176,Folgende personenbezogene Daten werden im Rahmen einer Weiterleitung zur Registrierung/,None
177,Anmeldung über LOTTO.de direkt vom Browser des Nutzers an die Landeslotteriegesellschaft des zuständigen Bundeslandes übertragen:,None
178,"

(1) E-Mail-Adresse (im Klartext, Transport verschlüsselt per https)
(2)",None
179,"Passwort (im Klartext, Transport verschlüsselt per https)",None
180,"
(3)",None
181,Ggf.,None
182,"die vom Nutzer eingegebenen Spielscheindaten der jeweiligen Lotterie

Eine Verarbeitung der vorgenannten personenbezogenen Daten des Nutzers auf LOTTO.de findet nicht statt.",None
183,"

2. Rechtsgrundlage für die Datenverarbeitung",None
184,"

",None
185,"Die personenbezogenen Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
186,Informationen zur Rechtsgrundlage können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
187,"

3. Zweck der Datenverarbeitung

",None
188,"Die personenbezogenen Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
189,Informationen zum Zweck der Datenverarbeitung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
190,"

Durch das Speichern des Hashwerts erfahren wir, welche Nutzer sich über LOTTO.de anmelden oder zum Registrierungsprozess weitergeleitet werden.",None
191,Diese Informationen dienen uns für die technische Abwicklung mit den Landeslotteriegesellschaften der anderen Bundesländer.,None
192,"

4. Dauer der Speicherung

",None
193,"Die Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Speicherung auf LOTTO.de statt.",None
194,Informationen zur Speicherung und Löschung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
195,"

",None
196,"Der anonymisierte Hashwert der E-Mail-Adresse auf LOTTO.de wird gelöscht, sobald die jeweilige Landeslotteriegesellschaft uns darüber informiert, dass der Hashwert gelöscht werden kann.",None
197,"Dies ist der Fall, sobald die Löschfrist für die Nutzerdaten bei der jeweiligen Landeslotteriegesellschaft abgelaufen ist.",None
198,"

5. Widerspruchs- und Beseitigungsmöglichkeit

",None
199,"Die personenbezogenen Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
200,Informationen zu ggf. bestehenden Widerspruchs- und Beseitigungsmöglichkeiten finden Sie in den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer.,None
201,"

VII.",None
202,"E-Mail-Kontakt
",None
203,"1. Beschreibung und Umfang der Datenverarbeitung

",None
204,Auf unserer Webseite ist im Bereich „Kundenservice“ eine Kontaktaufnahme über die angezeigte E-Mail-Adresse der jeweiligen Landeslotteriegesellschaft möglich.,None
205,In diesem Fall werden mit der E-Mail über das beim jeweiligen Nutzer installierte E-Mailprogramm personenbezogene Daten des Nutzers an die jeweilige Landeslotteriegesellschaft übermittelt.,None
206,"

",None
207,Eine Verarbeitung der vorgenannten personenbezogenen Daten des Nutzers auf LOTTO.de findet nicht statt.,None
208,"

2. Rechtsgrundlage für die Datenverarbeitung",None
209,"

",None
210,"Die personenbezogenen Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
211,Informationen zur Rechtsgrundlage können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
212,"

3. Zweck der Datenverarbeitung

",None
213,"Die personenbezogenen Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
214,Informationen zum Zweck der Datenverarbeitung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
215,"

4. Dauer der Speicherung

",None
216,"Die Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Speicherung auf LOTTO.de statt.",None
217,Informationen zur Speicherung und Löschung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
218,"

5. Widerspruchs- und Beseitigungsmöglichkeit

",None
219,"Die personenbezogenen Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
220,Informationen zu ggf. bestehenden Widerspruchs- und Beseitigungsmöglichkeiten finden Sie in den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer.,None
221,"

VIII.",None
222,"Teilen mit Social-Media-Buttons (Facebook, Twitter, WhatsApp)",None
223,"
",None
224,"Unsere Webseite bietet die Möglichkeit, einzelne Seiten in sozialen Netzwerken wie Facebook, Twitter oder WhatsApp mittels Schaltflächen zu teilen.",None
225, ,None
226,"Hinter den Schaltflächen sind statische Links hinterlegt, so dass beim bloßen Aufrufen unserer Webseite keine Daten an die sozialen Netzwerke übertragen werden.",None
227,"

",None
228,"Erst nach Anklicken der Schaltflächen können Daten (auch personenbezogene Daten) an externe Anbieter gelangen und von diesen genutzt werden, wenn der Nutzer zugleich im jeweiligen sozialen Netzwerk angemeldet ist.",None
229,"Wir haben keinen Einfluss darauf, ob und in welchem Umfang, für welche Dauer und zu welchem Zweck externe Anbieter personenbezogene Daten erheben.",None
230,Beim Nutzen der entsprechenden Schaltflächen werden durch uns keine personenbezogenen Daten des Nutzers verarbeitet.,None
231,"

",None
232,Weitere Informationen zur Handhabung des Datenschutzes bei den externen Social-Media-Plattformen können auf deren Webseiten eingesehen werden:,None
233,"

a) Facebook Inc., 1601 S California Ave, Palo Alto, California 94304, USA
",None
234,"https://www.facebook.com/policy.php

b)",None
235,"Twitter Inc., 1355 Market St, Suite 900, San Francisco, California 94103, USA
",None
236,"https://twitter.com/privacy

c) WhatsApp Ireland Limited, 4 Grand Canal Square, Grand Canal Harbour, Dublin 2, Irland
",None
237,https://www.whatsapp.com/legal/#privacy-policy,None
238,"

IX.",None
239,"Einbettung von YouTube-Videos
",None
240,Auf unserer Webseite sind Videos der Plattform YouTube integriert.,None
241,"YouTube ist ein Internet-Videoportal, dass Video-Publishern das kostenlose Einstellen von Videoclips und anderen Nutzern die ebenfalls kostenfreie Betrachtung, Bewertung und Kommentierung dieser ermöglicht.",None
242,"Betreibergesellschaft von YouTube ist Google Ireland Limited, Gorden House, Barrow Street, Dublin 4, Irland.",None
243,"

",None
244,"Die Einbettung von Youtube-Videos auf unserer Webseite erfolgt im erweiterten Datenschutzmodus (youtube-nocookie.com), der Cookies erst setzt, wenn ein Nutzer das Video anklickt und damit abspielt.",None
245,Beim bloßen Aufruf einer Seite mit einem eingebetteten Video wird kein Cookie gesetzt.,None
246,Wir nutzen YouTube-Videos auf unserer Webseite für die Bereitstellung der folgenden Inhalte:,None
247,"

Erklärvideos der Lotterien",None
248,"LOTTO 6aus49, Eurojackpot und KENO.",None
249,"
Ziehungsvideos der Lotterien von folgenden YouTube-Kanälen:",None
250,"
",None
251,LOTTO 6aus49 (VOD und 360 Grad),None
252,"
Eurojackpot (VOD)",None
253,"
",None
254,KENO (VOD),None
255,"
Livestream der Ziehung der Lottozahlen von LOTTO 6aus49 am Mittwoch und Samstag
",None
256,"Wir haben keinen Einfluss darauf, ob und in welchem Umfang, für welche Dauer und zu welchem Zweck externe Anbieter wie YouTube beim Starten eines Videos personenbezogene Daten erheben.",None
257,"Es ist jedoch davon auszugehen, dass zumindest IP-Adresse und gerätebezogene Informationen erfasst und genutzt werden.",None
258,Beim Aufrufen eines YouTube-Videos werden durch uns keine personenbezogenen Daten des Nutzers verarbeitet.,None
259,"

",None
260,"Sofern Sie eine Übermittlung der genannten Informationen an YouTube und Google nicht wollen, kann die Übermittlung verhindert werden, indem Sie sich vor einem Aufruf unserer Webseite aus Ihrem YouTube-Account ausloggen.",None
261,"Zusätzlich können Sie das erforderliche Setzen eines Cookies ablehnen – z. B. per Browser-Einstellung, die das automatische Setzen von Cookies generell deaktiviert.",None
262,"

Datenschutzerklärung von Google/YouTube mit weiteren Informationen zur Erhebung, Verarbeitung und Nutzung personenbezogener Daten

X. Push-Benachrichtigungen mit CleverPush
",None
263,1. Beschreibung und Umfang der Datenverarbeitung,None
264,"

Diese Webseite setzt zur Versendung von Push-Benachrichtigungen ein Tool des Anbieters CleverPush (CleverPush GmbH (Nagelsweg 22, 20097 Hamburg)) ein.",None
265,"Push-Benachrichtigungen sind Meldungen im Internetbrowser, die - nur nach vorheriger Einwilligung - ohne das Öffnen der Webseite oder der jeweiligen App auf Ihrem Endgerät angezeigt werden und von Ihnen jederzeit ein- oder ausgeschaltet werden können.",None
266,"

",None
267,"Beim Eintragen (Opt-In) in den Benachrichtigungs-Verteiler werden ein Identifikator Key sowie Land, Zeitzone und abonnierte Themen des Nutzers übertragen und in der Datenbank von CleverPush gespeichert.",None
268,"Der Identifikator Key wird von den jeweiligen Browserherstellern (Google, Mozilla, Apple, Microsoft etc.) vergeben und ermöglicht es, später die Benachrichtigungen an die jeweiligen Browser zu versenden.",None
269,"

Für die Beschleunigung des Abrufes von Inhalten (z. B. Bildern) sowie für die Abwehr von Angriffen verwendet",None
270,"CleverPush im Rahmen einer Auftragsverarbeitung die Angebote von KeyCDN, ein Angebot der proinity LLC (Färberstr. 9, CH-8832 Wollerau, Schweiz).",None
271,Die Übermittlung personenbezogener Daten in die Schweiz ist infolge eines Angemessenheitsbeschluss der Europäischen Kommission zulässig.,None
272,"

",None
273,"CleverPush speichert keine Daten auf den Servern von KeyCDN, die personenbezogene Daten beinhalten, sondern nur allgemeine Inhalte wie Texte oder Bilder.",None
274,Bei einem Abruf dieser Inhalte baut das von Ihnen verwendete Endgerät eine Verbindung zu Cloudflare auf und es kommt hierdurch zur Verarbeitung der IP-Adresse des von Ihnen verwendeten Endgerätes.,None
275,"

2. Rechtsgrundlage für die Datenverarbeitung",None
276,"

",None
277,Die Rechtsgrundlage für die Verarbeitung der Daten unter Verwendung eines Identifikator Key ist bei Vorliegen einer diesbezüglichen Einwilligung des Nutzers Art. 6 Abs. 1 lit. a),None
278,DS-GVO.,None
279,"

3. Zweck der Datenverarbeitung",None
280,"

",None
281,"Die Zwecke der Verwendung des Identifikator Key sowie der Daten über Land, Zeitzone und abonnierten Themen des Nutzers sind die Auslieferung relevanter Push-Benachrichtigungen auf Anforderung des Nutzers, die Dokumentation des Anmeldezeitpunkts des Nutzers sowie die statistische Auswertung zur Verbesserung der Push-Benachrichtigungen.",None
282,"

4. Dauer der Speicherung

",None
283,"Die Daten werden gespeichert, bis Sie das Abonnement der Push-Benachrichtigungen beenden (Opt-Out).",None
284,"

5. Widerspruchs- und Beseitigungsmöglichkeit

Wird das Opt-In für Push-Benachrichtigungen dieser Webseite entzogen (Opt-Out), werden sämtliche bei CleverPush gespeicherte Daten gelöscht.",None
285,"Informationen über das Opt-Out für Push-Nachrichten für die jeweiligen Browser finden Sie auf den nachfolgenden Seiten: Google Chrome, Apple Safari, Mozilla Firefox, Microsoft Edge und Opera.",None
286,"

",None
287,"Weitere Informationen zu Push-Benachrichtigungen, sowie die Austragung (Opt-Out) finden Sie unter https://cleverpush.com/de/faq und in der Datenschutzerklärung von CleverPush.",None
288,"

XI.",None
289,"Rechte der betroffenen Person
Werden personenbeziehbare Daten von Ihnen verarbeitet, sind Sie Betroffener i. S. d.",None
290,"DS-GVO und es stehen Ihnen folgende Rechte gegenüber uns als dem Verantwortlichen zu:

1. Auskunftsrecht",Right to Information
291,"

",None
292,"Sie können von dem Verantwortlichen eine Bestätigung darüber verlangen, ob personenbeziehbare Daten, die Sie betreffen, von uns verarbeitet werden.",None
293,"

Liegt eine solche Verarbeitung vor, können Sie von dem Verantwortlichen über folgende Informationen Auskunft verlangen:",None
294,"

(1) die Zwecke, zu denen die personenbeziehbaren Daten verarbeitet werden;",None
295,"

(2) die Kategorien von personenbeziehbaren Daten, welche verarbeitet werden;",None
296,"

(3) die Empfänger bzw. die Kategorien von Empfängern, gegenüber denen die Sie betreffenden personenbeziehbaren Daten offengelegt wurden oder noch offengelegt werden;",None
