,sentence,label
76,"Im Falle der Erfassung der Daten zur Bereitstellung der Webseite ist dies der Fall, wenn der jeweilige Besuch unserer Webseite beendet ist.",None
77,"

f) Widerspruchs- und Beseitigungsmöglichkeit

",None
78,Cookies werden auf dem Rechner des Nutzers gespeichert und von diesem an unsere Webseite übermittelt.,None
79,Daher haben Sie als Nutzer auch die volle Kontrolle über die Verwendung von technisch notwendigen Cookies.,None
80,Durch eine Änderung der Einstellungen in Ihrem Browser können Sie die Übertragung von technisch notwendigen Cookies deaktivieren oder einschränken.,None
81,Bereits gespeicherte Cookies können jederzeit gelöscht werden.,None
82,Dies kann auch automatisiert erfolgen.,None
83,"Werden technisch notwendige Cookies für unsere Webseite deaktiviert, können möglicherweise nicht mehr alle Funktionen der Webseite vollumfänglich genutzt werden.",None
84,Beschreibung und Umfang der Datenverarbeitung,None
85,"Wir verwenden auf unserer Webseite darüber hinaus Cookies, die eine Analyse des Surfverhaltens der Nutzer oder der Effektivität von Kommunikationsmaßnahmen ermöglichen.",None
86,"

Hierfür werden insbesondere folgende Daten verarbeitet:",None
87,"

Eingegebene Suchbegriffe",None
88,Häufigkeit von Webseitenaufrufen/,None
89,"Zielwebseiten
Konversionsart (Registrierung oder Anmeldung)",None
90,"Angeklickte Werbemittel
",None
91,Darüber hinaus werden abhängig von dem verwendeten Analyse-Tool gegebenenfalls weitere Daten erhoben (siehe c) Zweck der Datenverarbeitung).,None
92,"Wenn Sie LOTTO.de als Progressive Web App (PWA) auf iOS-Geräten nutzen, werden keine Cookies zu Analyse-Zwecken auf Ihrem Endgerät gesetzt.",None
93,Rechtsgrundlage für die Datenverarbeitung,None
94,Die Rechtsgrundlage für die Verarbeitung personenbezogener Daten unter Verwendung von Cookies zu Analysezwecken ist bei Vorliegen einer diesbezüglichen Einwilligung des Nutzers Art. 6 Abs. 1 lit.,None
95,DS-GVO.,None
96,"

Diese können Sie frei geben oder verweigern.",None
97,"Die Einwilligungsoptionen sehen Sie, wenn Sie unsere Webseite zum ersten Mal besuchen.",None
98,"Sie können Ihre Entscheidungen jederzeit anpassen, indem Sie Ihre Privatsphäre-Einstellungen ändern.",None
99,"

c) Zweck der Datenverarbeitung

",None
100,"Die Verwendung der Analyse-Cookies erfolgt zu dem Zweck, die Qualität unserer Webseite und unserer Online-Kommunikationsmaßnahmen, mit denen wir Nutzer ansprechen, zu verbessern.",None
101,"Durch die Analyse-Cookies erfahren wir, über welche Werbemittel oder Suchbegriffe Nutzer auf unsere Webseite gelangt sind und können so unser Angebot stetig optimieren.",None
102,"

Auf diese Weise nutzen wir Ihre Daten, wenn Sie uns die entsprechenden Einwilligungen geben:",None
103,"

Webanalyse und A/B-Tests mit Piwik",None
104,"PRO

Zweck: Verbesserung der Benutzeroberfläche, Optimierung der Webseiten-Inhalte
",None
105,Folgende persönliche Daten werden verwendet:,None
106,"Browser-Cookie, Surfverhalten auf LOTTO.de, Geräteinformation, um ein Byte gekürzte (anonymisierte) IP-Adresse des aufrufenden Systems des Nutzers
First Party Tools: Piwik",None
107,"

Zweck: Darstellung unserer Anzeigen auf anderen Webseiten
",None
108,Folgende persönliche Daten werden verwendet:,None
109,"Browser-Cookie, Surfverhalten auf LOTTO.de, IP-Adresse (die Anonymisierung der IP-Adresse ist anbieterabhängig)
Third Party Tools: Google AdWords Conversion Tracking, Microsoft Conversion Tracking",None
110,"Weitere Informationen zur Datenverarbeitung finden Sie in den Datenschutzerklärungen der genannten Unternehmen, die Sie unter folgenden Links aufrufen können:",None
111,PRO Datenschutzerklärung,None
112,"Datenschutzerklärung
Microsoft",None
113,"Datenschutzerklärung

d) Dauer der Speicherung

",None
114,"Die Daten werden gelöscht, sobald sie für die Erreichung des Zweckes ihrer Erhebung nicht mehr erforderlich sind.",None
115,Im Falle von Google AdWords,None
116,Tracking ist dies nach 30 Tagen der Fall.,None
117,Im Falle von Piwik PRO ist das nach 3 Jahren der Fall.,None
118,"

e) Widerspruchs- und Beseitigungsmöglichkeit

",None
119,"Sie können Ihre Einwilligung jederzeit widerrufen, indem Sie die folgenden Privatsphäre-Einstellungen anpassen:",None
120,"

Privatsphäre-Einstellungen
Verwalten Sie hier Ihre Einstellungen zum Datenschutz und Ihre Einstellungen für die LOTTO.de Webseite.",None
121,"Wir erfassen Daten, um Ihre Erfahrung auf unserer Webseite stetig zu verbessern.",None
122,"Wir sammeln und nutzen Daten nur für Zwecke, für die eine Einwilligung vorliegt.",None
123,"

Einstellungen bearbeiten

Darüber hinaus haben Sie die Möglichkeit, über Einstellungen in Ihrem Internetbrowser die Übertragung von Cookies zu deaktivieren oder einzuschränken.",None
124,Bereits gespeicherte Cookies können jederzeit gelöscht werden.,None
125,Dies kann auch automatisiert erfolgen.,None
126,"Über folgendes Formular können Sie anfragen, welche Daten zu Analyse-Zwecken derzeit bei uns gespeichert sind.",None
127,"

Datenschutz-Anfrage: Formular für betroffene Personen
Wählen Sie die Art der Datenschutz-Anfrage und teilen Sie uns Ihr Anliegen mit.",None
128,"Wir werden unser Bestes tun, um Ihre Anfrage schnellstmöglich und vollständig zu beantworten.",None
129,Hierzu benötigen wir Ihre E-Mail-Adresse.,None
130,Wir werden Ihre E-Mail-Adresse für keinen anderen Zweck außer der Bearbeitung Ihrer Anfrage verwenden.,None
131,"

E-Mail
Art der Anfrage",None
132,"
Nachricht an den Webseiten-Administrator
",None
133,Registrierung/Anmeldung,None
134,"1. Beschreibung und Umfang der Datenverarbeitung

LOTTO.de ist eine Serviceplattform, auf der Spieltipps für unterschiedliche Lotterien vorbereitet werden können.",None
135,Über eine Eingabemaske können sich Nutzer über LOTTO.de bei der Landeslotteriegesellschaft des Bundeslandes des Nutzers anmelden oder zum Registrierungsprozess gelangen.,None
136,Die personenbezogenen Daten des Nutzers werden ausschließlich von der jeweiligen Landeslotteriegesellschaft des Bundeslands des Nutzers verarbeitet.,None
137,"LOTTO.de speichert ausschließlich die E-Mail-Adresse des Nutzers in anonymisierter Form durch Umwandlung in einen Hashwert, um zu prüfen, ob der Nutzer bereits registrierter Kunde einer Landeslotteriegesellschaft ist.",None
138,Auf den Webseiten der jeweiligen Landeslotteriegesellschaft des Bundeslandes des Nutzers sind weiterführende Informationen zu den jeweiligen Datenschutzbestimmungen vorhanden.,None
139,Folgende personenbezogene Daten werden im Rahmen einer Weiterleitung zur Registrierung/,None
140,Anmeldung über LOTTO.de direkt vom Browser des Nutzers an die Landeslotteriegesellschaft des zuständigen Bundeslandes übertragen:,None
141,"

(1) E-Mail-Adresse (im Klartext, Transport verschlüsselt per https)
(2)",None
142,"Passwort (im Klartext, Transport verschlüsselt per https)",None
143,"die vom Nutzer eingegebenen Spielscheindaten der jeweiligen Lotterie

Eine Verarbeitung der vorgenannten personenbezogenen Daten des Nutzers auf LOTTO.de findet nicht statt.",None
144,"

2. Rechtsgrundlage für die Datenverarbeitung",None
145,"Die personenbezogenen Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
146,Informationen zur Rechtsgrundlage können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
147,"

3. Zweck der Datenverarbeitung

",None
148,"Die personenbezogenen Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
149,Informationen zum Zweck der Datenverarbeitung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
150,"

Durch das Speichern des Hashwerts erfahren wir, welche Nutzer sich über LOTTO.de anmelden oder zum Registrierungsprozess weitergeleitet werden.",None
151,Diese Informationen dienen uns für die technische Abwicklung mit den Landeslotteriegesellschaften der anderen Bundesländer.,None
152,"

4. Dauer der Speicherung

",None
153,"Die Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Speicherung auf LOTTO.de statt.",None
154,Informationen zur Speicherung und Löschung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
155,"Der anonymisierte Hashwert der E-Mail-Adresse auf LOTTO.de wird gelöscht, sobald die jeweilige Landeslotteriegesellschaft uns darüber informiert, dass der Hashwert gelöscht werden kann.",None
156,"Dies ist der Fall, sobald die Löschfrist für die Nutzerdaten bei der jeweiligen Landeslotteriegesellschaft abgelaufen ist.",None
157,"

5. Widerspruchs- und Beseitigungsmöglichkeit

",None
158,"Die personenbezogenen Daten werden über den Browser des Nutzers an die Landeslotteriegesellschaft des Bundeslandes des Nutzers weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
159,Informationen zu ggf. bestehenden Widerspruchs- und Beseitigungsmöglichkeiten finden Sie in den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer.,None
160,"1. Beschreibung und Umfang der Datenverarbeitung

",None
161,Auf unserer Webseite ist im Bereich „Kundenservice“ eine Kontaktaufnahme über die angezeigte E-Mail-Adresse der jeweiligen Landeslotteriegesellschaft möglich.,None
162,In diesem Fall werden mit der E-Mail über das beim jeweiligen Nutzer installierte E-Mailprogramm personenbezogene Daten des Nutzers an die jeweilige Landeslotteriegesellschaft übermittelt.,None
163,Eine Verarbeitung der vorgenannten personenbezogenen Daten des Nutzers auf LOTTO.de findet nicht statt.,None
164,"

2. Rechtsgrundlage für die Datenverarbeitung",None
165,"Die personenbezogenen Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
166,Informationen zur Rechtsgrundlage können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
167,"

3. Zweck der Datenverarbeitung

",None
168,"Die personenbezogenen Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
169,Informationen zum Zweck der Datenverarbeitung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
170,"

4. Dauer der Speicherung

",None
171,"Die Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Speicherung auf LOTTO.de statt.",None
172,Informationen zur Speicherung und Löschung können Nutzer den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer entnehmen.,None
173,"

5. Widerspruchs- und Beseitigungsmöglichkeit

",None
174,"Die personenbezogenen Daten werden über das E-Mailprogramm des Nutzers an die jeweilige Landeslotteriegesellschaft weitergeleitet, es findet keine Verarbeitung personenbezogener Daten auf LOTTO.de statt.",None
175,Informationen zu ggf. bestehenden Widerspruchs- und Beseitigungsmöglichkeiten finden Sie in den Datenschutzbestimmungen der einzelnen Landeslotteriegesellschaften der Bundesländer.,None
176,"Unsere Webseite bietet die Möglichkeit, einzelne Seiten in sozialen Netzwerken wie Facebook, Twitter oder WhatsApp mittels Schaltflächen zu teilen.",None
177,"Hinter den Schaltflächen sind statische Links hinterlegt, so dass beim bloßen Aufrufen unserer Webseite keine Daten an die sozialen Netzwerke übertragen werden.",None
178,"Erst nach Anklicken der Schaltflächen können Daten (auch personenbezogene Daten) an externe Anbieter gelangen und von diesen genutzt werden, wenn der Nutzer zugleich im jeweiligen sozialen Netzwerk angemeldet ist.",None
179,"Wir haben keinen Einfluss darauf, ob und in welchem Umfang, für welche Dauer und zu welchem Zweck externe Anbieter personenbezogene Daten erheben.",None
180,Beim Nutzen der entsprechenden Schaltflächen werden durch uns keine personenbezogenen Daten des Nutzers verarbeitet.,None
181,Weitere Informationen zur Handhabung des Datenschutzes bei den externen Social-Media-Plattformen können auf deren Webseiten eingesehen werden:,None
182,"Einbettung von YouTube-Videos
",None
183,Auf unserer Webseite sind Videos der Plattform YouTube integriert.,None
184,"YouTube ist ein Internet-Videoportal, dass Video-Publishern das kostenlose Einstellen von Videoclips und anderen Nutzern die ebenfalls kostenfreie Betrachtung, Bewertung und Kommentierung dieser ermöglicht.",None
185,"Betreibergesellschaft von YouTube ist Google Ireland Limited, Gorden House, Barrow Street, Dublin 4, Irland.",None
186,"Die Einbettung von Youtube-Videos auf unserer Webseite erfolgt im erweiterten Datenschutzmodus (youtube-nocookie.com), der Cookies erst setzt, wenn ein Nutzer das Video anklickt und damit abspielt.",None
187,Beim bloßen Aufruf einer Seite mit einem eingebetteten Video wird kein Cookie gesetzt.,None
188,Wir nutzen YouTube-Videos auf unserer Webseite für die Bereitstellung der folgenden Inhalte:,None
189,"LOTTO 6aus49, Eurojackpot und KENO.",None
190,"
Ziehungsvideos der Lotterien von folgenden YouTube-Kanälen:",None
191,LOTTO 6aus49 (VOD und 360 Grad),None
192,"
Livestream der Ziehung der Lottozahlen von LOTTO 6aus49 am Mittwoch und Samstag
",None
193,"Wir haben keinen Einfluss darauf, ob und in welchem Umfang, für welche Dauer und zu welchem Zweck externe Anbieter wie YouTube beim Starten eines Videos personenbezogene Daten erheben.",None
194,"Es ist jedoch davon auszugehen, dass zumindest IP-Adresse und gerätebezogene Informationen erfasst und genutzt werden.",None
195,Beim Aufrufen eines YouTube-Videos werden durch uns keine personenbezogenen Daten des Nutzers verarbeitet.,None
196,"Sofern Sie eine Übermittlung der genannten Informationen an YouTube und Google nicht wollen, kann die Übermittlung verhindert werden, indem Sie sich vor einem Aufruf unserer Webseite aus Ihrem YouTube-Account ausloggen.",None
197,"Zusätzlich können Sie das erforderliche Setzen eines Cookies ablehnen – z. B. per Browser-Einstellung, die das automatische Setzen von Cookies generell deaktiviert.",None
198,"

Datenschutzerklärung von Google/YouTube mit weiteren Informationen zur Erhebung, Verarbeitung und Nutzung personenbezogener Daten

X. Push-Benachrichtigungen mit CleverPush
",None
199,1. Beschreibung und Umfang der Datenverarbeitung,None
200,"

Diese Webseite setzt zur Versendung von Push-Benachrichtigungen ein Tool des Anbieters CleverPush (CleverPush GmbH (Nagelsweg 22, 20097 Hamburg)) ein.",None
201,"Push-Benachrichtigungen sind Meldungen im Internetbrowser, die - nur nach vorheriger Einwilligung - ohne das Öffnen der Webseite oder der jeweiligen App auf Ihrem Endgerät angezeigt werden und von Ihnen jederzeit ein- oder ausgeschaltet werden können.",None
202,"Beim Eintragen (Opt-In) in den Benachrichtigungs-Verteiler werden ein Identifikator Key sowie Land, Zeitzone und abonnierte Themen des Nutzers übertragen und in der Datenbank von CleverPush gespeichert.",None
203,"Der Identifikator Key wird von den jeweiligen Browserherstellern (Google, Mozilla, Apple, Microsoft etc.) vergeben und ermöglicht es, später die Benachrichtigungen an die jeweiligen Browser zu versenden.",None
204,"

Für die Beschleunigung des Abrufes von Inhalten (z. B. Bildern) sowie für die Abwehr von Angriffen verwendet",None
205,"CleverPush im Rahmen einer Auftragsverarbeitung die Angebote von KeyCDN, ein Angebot der proinity LLC (Färberstr. 9, CH-8832 Wollerau, Schweiz).",None
206,Die Übermittlung personenbezogener Daten in die Schweiz ist infolge eines Angemessenheitsbeschluss der Europäischen Kommission zulässig.,None
207,"CleverPush speichert keine Daten auf den Servern von KeyCDN, die personenbezogene Daten beinhalten, sondern nur allgemeine Inhalte wie Texte oder Bilder.",None
208,Bei einem Abruf dieser Inhalte baut das von Ihnen verwendete Endgerät eine Verbindung zu Cloudflare auf und es kommt hierdurch zur Verarbeitung der IP-Adresse des von Ihnen verwendeten Endgerätes.,None
209,"

2. Rechtsgrundlage für die Datenverarbeitung",None
210,Die Rechtsgrundlage für die Verarbeitung der Daten unter Verwendung eines Identifikator Key ist bei Vorliegen einer diesbezüglichen Einwilligung des Nutzers Art. 6 Abs. 1 lit. a),None
211,DS-GVO.,None
212,"

3. Zweck der Datenverarbeitung",None
213,"Die Zwecke der Verwendung des Identifikator Key sowie der Daten über Land, Zeitzone und abonnierten Themen des Nutzers sind die Auslieferung relevanter Push-Benachrichtigungen auf Anforderung des Nutzers, die Dokumentation des Anmeldezeitpunkts des Nutzers sowie die statistische Auswertung zur Verbesserung der Push-Benachrichtigungen.",None
214,"

4. Dauer der Speicherung

",None
215,"Die Daten werden gespeichert, bis Sie das Abonnement der Push-Benachrichtigungen beenden (Opt-Out).",None
216,"

5. Widerspruchs- und Beseitigungsmöglichkeit

Wird das Opt-In für Push-Benachrichtigungen dieser Webseite entzogen (Opt-Out), werden sämtliche bei CleverPush gespeicherte Daten gelöscht.",None
217,"Informationen über das Opt-Out für Push-Nachrichten für die jeweiligen Browser finden Sie auf den nachfolgenden Seiten: Google Chrome, Apple Safari, Mozilla Firefox, Microsoft Edge und Opera.",None
218,"Weitere Informationen zu Push-Benachrichtigungen, sowie die Austragung (Opt-Out) finden Sie unter https://cleverpush.com/de/faq und in der Datenschutzerklärung von CleverPush.",None
219,"Rechte der betroffenen Person
Werden personenbeziehbare Daten von Ihnen verarbeitet, sind Sie Betroffener i. S. d.",None
220,"DS-GVO und es stehen Ihnen folgende Rechte gegenüber uns als dem Verantwortlichen zu:

1. Auskunftsrecht",Right to Information
221,"Sie können von dem Verantwortlichen eine Bestätigung darüber verlangen, ob personenbeziehbare Daten, die Sie betreffen, von uns verarbeitet werden.",None
222,"

Liegt eine solche Verarbeitung vor, können Sie von dem Verantwortlichen über folgende Informationen Auskunft verlangen:",None
223,"

(1) die Zwecke, zu denen die personenbeziehbaren Daten verarbeitet werden;",None
224,"

(2) die Kategorien von personenbeziehbaren Daten, welche verarbeitet werden;",None
225,"

(3) die Empfänger bzw. die Kategorien von Empfängern, gegenüber denen die Sie betreffenden personenbeziehbaren Daten offengelegt wurden oder noch offengelegt werden;",None
226,"

(4) die geplante Dauer der Speicherung der Sie betreffenden personenbeziehbaren Daten oder, falls konkrete Angaben hierzu nicht möglich sind, Kriterien für die Festlegung der Speicherdauer;",None
227,"

(5) das Bestehen eines Rechts auf Berichtigung oder Löschung der Sie betreffenden personenbeziehbaren Daten, eines Rechts auf Einschränkung der Verarbeitung durch den Verantwortlichen oder eines Widerspruchsrechts gegen diese Verarbeitung;",None
228,"

(6) das Bestehen eines Beschwerderechts bei einer Aufsichtsbehörde;",None
229,"alle verfügbaren Informationen über die Herkunft der Daten, wenn die personenbeziehbaren Daten nicht bei der betroffenen Person erhoben werden;",None
230,"

(8) das Bestehen einer automatisierten Entscheidungsfindung einschließlich Profiling gemäß Art.",None
231,22 Abs. 1 und 4 DS-GVO und – zumindest in diesen Fällen – aussagekräftige Informationen über die involvierte Logik sowie die Tragweite und die angestrebten Auswirkungen einer derartigen Verarbeitung für die betroffene Person.,None
232,"Ihnen steht das Recht zu, Auskunft darüber zu verlangen, ob die Sie betreffenden personenbeziehbaren Daten in ein Drittland oder an eine internationale Organisation übermittelt werden.",None
233,"In diesem Zusammenhang können Sie verlangen, über die geeigneten Garantien gem. Art.",None
234,46 DS-GVO im Zusammenhang mit der Übermittlung unterrichtet zu werden.,None
235,"

2. Recht auf Berichtigung

",None
236,"Sie haben ein Recht auf Berichtigung und/oder Vervollständigung gegenüber dem Verantwortlichen, sofern die verarbeiteten personenbeziehbaren Daten, die Sie betreffen, unrichtig oder unvollständig sind.",None
237,Der Verantwortliche hat die Berichtigung unverzüglich vorzunehmen.,None
238,"

3. Recht auf Einschränkung der Verarbeitung

",None
