,sentence,label
195,"Cookies help to provide important features and functionality on our Websites and Mobile Apps, and to improve your customer experience.",None
196,"
We use cookies to distinguish you from other users of the Site, to provide a seamless experience and to monitor where we need to make improvements.",None
197,We also use cookies for advertising purposes.,None
198,"Some of the cookies we use are necessary for the Site to function; other cookies are in place to make the Site more user-friendly, and for analytic purposes.",None
199,"

When you consent to Cookies on our Services, these may be used to do the following:

Improve the way our Websites and Mobile Apps work
",None
200,Cookies allow us to improve the way our Websites and Mobile Apps work so that we can personalise your experience and allow you to use many of their useful features.,None
201,"

For example, we use Cookies so we can remember your preferences and the contents of your shopping basket when you return to our Websites and Mobile Apps.",None
202,"

Improve the performance of our Websites and Mobile Apps
",None
203,"Cookies can help us to understand how our Websites and Mobile Apps are being used, for example, by telling us if you get an error messages as you browse.",None
204,"

These Cookies collect data that is mostly aggregated and anonymous.",None
205,"

Deliver relevant online advertising including via social media
",None
206,"We use Cookies to help us deliver online advertising that we believe is most relevant to you on our Websites, on other organisations’ websites and using social media.",None
207,Cookies used for this purpose are often placed on our Websites by specialist organisations.,None
208,"

Cookies used for this purpose are often placed on our Websites by organisations providing specialist services to us.",None
209,"These Cookies may collect information about your online behaviour, such as your IP address, the website you arrived from and information about your purchase history or the content of your shopping basket.",None
210,This means that you may see our adverts on our Websites and on other organisations’ websites.,None
211,You may also see adverts for other organisations on our Websites.,None
212,"

To help us to deliver online advertising that is relevant to you, we may also combine data we collect through Cookies in the browser of your desktop computer or other devices with other data that we have collected, for example your use of Clubcard and in-store purchases.",None
213,"

Measuring the effectiveness of our marketing communications, including online advertising
Cookies can tell us if you have seen a specific advert, and how long it has been since you have seen it.",None
214,This information allows us to measure the effectiveness of our online advertising campaigns and control the number of times you are shown an advert.,None
215,"

We also use Cookies to measure the effectiveness of our marketing communications, for example by telling us if you have opened a marketing email that we have sent you.",None
216,"

What types of cookies do we use?",None
217,"
We use the following categories of cookies:

Session cookies - These enable your web browser to remember which pages on our Site have already been visited and what actions have been taken in a session.",None
218,Session cookies allow users to be recognized within a website so any page changes or item or data selection you do is remembered from page to page.,None
219,The most common example of this functionality is the shopping cart feature of any e-commerce site.,None
220,"When you visit one page of a catalogue and select some items, the session cookie remembers your selection so your shopping cart will have the items you selected when you are ready to check out.",None
221,"Without session cookies, if you click",None
222,"CHECKOUT, the new page does not recognize your past activities on prior pages and your shopping cart will always be empty.",None
223,Session cookies do not collect information from the user's computer.,None
224,"Description
ASP.NET_SessionId",None
225,"General purpose platform session cookie, used by sites written",None
226,with Microsoft .NET based technologies.,None
227,Usually used to maintain an anonymised user session by the server.,None
228,"
ASP.NET_SessionId	",None
229,"General purpose platform session cookie, used by sites written",None
230,with Microsoft .NET based technologies.,None
231,Usually used to maintain an anonymised user session by the server.,None
232,"Performance cookies - 'Performance' cookies collect information about how you use our website e.g. which pages you visit, and if you experience any errors.",None
233,"These cookies don't collect any information that could identify you – all the information collected is anonymous and is only used to help us improve how our website works, understand what interests our users and measure how effective our advertising is.",None
234,__utmv	This is an,None
235,optional addtional,None
236,cookie set by the Google Analytics service which enables website owners to track visitor behaviour and measure site performance.,None
237,This cookie is used when site owners create custom visitor-level variables for customising what can be measured.,None
238,The cookie is updated every time data is sent to Google Analytics.,None
239,"It has a default lifespan of two years, although this can be customised by site owners.",None
240,__utmt	This cookie is set by Google Analytics.,None
241,Limiting the collection of data on high traffic sites.,None
242,"It expires after 10 minutes
",None
243,This is one of the four main cookies set by the Google,None
244,Analytics service which enables website owners to track visitor behaviour and measure site performance.,None
245,This cookie determines new sessions and visits and expires after 30 minutes.,None
246,The cookie is updated every time data is sent to Google Analytics.,None
247,"Any activity by a user within the 30 minute life span will count as a single visit, even if the user leaves and then returns to the site.",None
248,"A return after 30 minutes will count as a new visit, but a returning visitor.",None
249,_gid	This cookie name is asssociated with Google Universal Analytics.,None
250,This appears to be a new cookie and as of Spring 2017,None
251,no information is available from Google.,None
252,It appears to store and update a unique value for each page visited.,None
253,Cookie set by Adobe SiteCatalyst,None
254,"analytics software - used for measuring the performance of page content using A/B split testing
",None
255,"	Adobe Site Catalyst cookie, stores date of visit and if visitor is new or returning
optimizelyEndUserId	",None
256,Cookie set by the Optimizely website optimisation plaftform.,None
257,"This cookie is a unique user identifier
",None
258,__utmz	This is one of the four main cookies set by the Google,None
259,Analytics service which enables website owners to track visitor behaviour measure of site performance.,None
260,This cookie identifies the source of traffic to the site - so Google Analytics can tell site owners where visitors came from when arriving on the site.,None
261,The cookie has a life span of 6 months and is updated every time data is sent to Google Analytics.,None
262,_ga	This cookie name is asssociated with Google Universal Analytics - which is a significant update to Google's more commonly used analytics service.,None
263,This cookie is used to distinguish unique users by assigning a randomly generated number as a client identifier.,None
264,"It is included in each page request in a site and used to calculate visitor, session and campaign data for the sites analytics reports.",None
265,"By default it is set to expire after 2 years, although this is customisable by website owners.",None
266,_utma	This is one of the four main cookies set by the Google,None
267,Analytics service which enables website owners to track visitor behaviour and measure site performance.,None
268,This cookie lasts for 2 years by default and distinguishes between users and sessions.,None
269,It it used to calculate new and returning visitor statistics.,None
270,The cookie is updated every time data is sent to Google Analytics.,None
271,The lifespan of the cookie can be customised by website owners.,None
272,s_fid	This cookie name is associated with the analytics service provided by Adobe's Site Catalyst product suite.,None
273,It is a new cookie introduced in 2013 as a 'fallback' visitor identifier where the s_vi cookie normally used for this purpose is blocked.,None
274,"It contains a randomly generated, unique id.",None
275,This is one of the four main cookies set by the Google,None
276,Analytics service which enables website owners to track visitor behaviour and measure site performance.,None
277,It is not used in most sites but is set to enable interoperability with the older version of Google Analytics code known as Urchin.,None
278,In this older versions this was used in combination with the __utmb cookie to identify new sessions/visits for returning visitors.,None
279,When used by Google Analytics this is always a Session cookie which is destroyed when the user closes their browser.,None
280,Where it is seen as a Persistent cookie it is therefore likely to be a different technology setting the cookie.,None
281,"	Adobe Site Catalyst cookie, stores information about the previous link clicked within the site
s_cc",None
282,"Adobe Site Catalyst cookie, determines whether cookies are enabled in the browser",None
283,"Cookie set by Adobe SiteCatalyst, which reportedly detects whether a browser",None
284,rich media like Flash or Silverlight.,None
285,"
Functional cookies - These cookies allow the website to remember choices you make (such as your user name, language or the region you are in) and provide enhanced, more personal features.",None
286,"For instance, a website may be able to provide you with local weather reports or traffic news by storing in a cookie the region in which you are currently located.",None
287,"These cookies can also be used to remember changes you have made to text size, fonts and other parts of web pages that you can customise.",None
288,They may also be used to provide services you have asked for such as watching a video or commenting on a blog.,None
289,The information these cookies collect may,None
290,be anonymised and they cannot track your browsing activity on other websites.,None
291,"

Advertising cookies/Targeting Cookies - These include targeting cookies, which record your visit to our Site, the pages you have visited and the links you have followed.",None
292,We use this information to make our Site and the advertising displayed on it more relevant to your interests.,None
293,We may also share this information with third parties for this purpose.,None
294,"We also use re-targeting cookies, which remember information about your use of our Site so that we can serve promotional and other targeted information to you on other websites.",None
295,These cookies are used in combination to recognise a user who is returning to our Site or who is visiting another website.,None
296,"Using these cookies, publishers and advertisers can draw up a profile and personalise the content you see.",None
297,"fr	Contains browser and user unique ID combinaton, used for targeted advertising.",None
298,"
demographics	Most likely used for demographic profiling and targeting for advertising
loc",None
299,"	Stores the visitors geolocation to record location of sharer
demdex	This cookie helps Adobe Audience Manger perform basic functions such as visitor identification, ID",None
300,"synchronization, segmentation, modeling, reporting, etc.",None
301,"
datr	This cookie identifies the browser connecting to Facebook.",None
302,It is not directly tied to individual Facebook the user.,None
303,"Facebook reports that it is used to help with security and suspicious login activity, especially around detection of bots trying to access the service.",None
304,Facebook also say the behavioural profile associated with each datr cookie is deleted after 10 days.,None
305,This cookie is also read via Like and other Facebook buttons and tags placed on many different websites.,None
306,"VISITOR_INFO1_LIVE	This cookie is used as a unique identifier to track viewing of videos
",None
307,	This cookie is used by Google in combination,None
308,with,None
309,HSID to verify a Google user account and most recent login time.,None
310,"This is a common Google cookie, used across several of their services.",None
311,Stores user preference and can be used to personalise ads on google searches.,None
312,	Tracks,None
313,"how often a user interacts
",None
314,	Used by Google in combination with SID to verify,None
315,"Google user account and most recent login time
lu	Used to manage the login process, remembers user on return visit if they choose to stay logged in.",None
316,"If you do not consent to the use of any of these cookies, please disable them following the instructions in this Cookie Policy so that cookies from this Site cannot be placed on your device.",None
317,"

You can find more information about the specific, individual cookies we use and the purposes for which we use them in the table below:

Name	",None
318,"Description
ASP.NET_SessionId",None
319,"General purpose platform session cookie, used by sites written",None
320,with Microsoft .NET based technologies.,None
321,Usually used to maintain an anonymised user session by the server.,None
322,"
Third Parties operating through our Websites and Mobile Apps

You will also note that third parties (particularly advertising companies, social networks and service providers such as retargeting or even behavioural analysis services) can also use cookies on our Site.",None
323,We have no control over these cookies.,None
324,These cookies can have the purpose of analysing performance or allowing customised targeting of advertising displayed on your web browser.,None
325,"

Our key partners are listed below with information about the services they provide to us.",None
326,This list is not exhaustive but it does include those partners with whom we have an established relationship and whose cookie technologies are most frequently deployed through our Services.,None
327,"

Measurement & Personalisation	To analyse",None
328,"how our services are used, including to test different content versions.",None
329,This data may also be used to enable us to personalise our services and the marketing of our services.,None
330,"Google
Product recommendations	To enrich your shopping experience by delivering personalised recommendations to you on some of our websites (e.g. on Tesco Direct and F&F Clothing).",None
331,"	Rich Relevance
",None
332,Online marketing	To personalise Tesco adverts shown to you via Tesco and on other websites based on your interactions with Tesco.,None
333,"For example, by using data about your transactions with Tesco, what you have in your basket and the pages and products you look at.",None
334,"We may also use your Clubcard data to better personalise our marketing via our main data partner, Sociomantic (a subsidiary of dunnhumby, a Tesco company).",None
335,Social media	To market to you via social media platforms and to enable social sharing and engagement on our websites.,None
336,"These companies may use your data for their own purposes, including to profile and target you with other advertising.",None
337,"Twitter
RadiumOne (po.st)",None
338,"
Delivering ads for our Retail Partners	To power commenting on our websites (e.g. Tesco Real Food)
To enable us to personalise and deliver online advertising on behalf of our Retail Partners	Disqus",None
339,You can find more information about the third party cookies in use on our Site in the table below:,None
340,"fr	Contains browser and user unique ID combination, used for targeted advertising.",None
341,"
demographics	Most likely used for demographic profiling and targeting for advertising
loc",None
342,"	Stores the visitors geolocation to record location of sharer
demdex	This cookie helps Adobe Audience Manger perform basic functions such as visitor identification, ID",None
343,"synchronization, segmentation, modelling, reporting, etc.",None
344,"
datr	This cookie identifies the browser connecting to Facebook.",None
345,It is not directly tied to individual Facebook the user.,None
346,"Facebook reports that it is used to help with security and suspicious login activity, especially around detection of bots trying to access the service.",None
347,Facebook also say the behavioural profile associated with each data cookie is deleted after 10 days.,None
348,This cookie is also read via Like and other Facebook buttons and tags placed on many different websites.,None
349,"VISITOR_INFO1_LIVE	This cookie is used as a unique identifier to track viewing of videos
",None
350,	This cookie is used by Google in combination,None
351,with,None
352,HSID to verify a Google user account and most recent login time.,None
353,"This is a common Google cookie, used across several of their services.",None
354,"Stores user preference and can be used to personalise ads on google searches
uvc",None
355,"	Tracks how often a user interacts
",None
356,	Used by Google in combination with SID to verify,None
357,"Google user account and most recent login time
lu	Used to manage the login process, remembers user on return visit if they choose to stay logged in.",None
358,"
Your choices when it comes to Cookies

To benefit from all the functionalities of the Site, it is preferable that you accepts all cookies.",None
359,"However if you so wish, you can usually change your web",None
360,"browser’s settings to refuse new cookies, disable existing ones or simply let you know when new ones are sent to your device.",None
361,"

Web browser cookies

",None
362,You can use your browser settings to accept or reject new Cookies and to delete existing Cookies.,None
363,You can also set your browser to notify you each time new Cookies are placed on your computer or other device.,None
364,You can find more detailed information about how you can manage Cookies through your browser’s help function,None
365,"

If you choose to disable some or all Cookies, you may not be able to make full use of our Websites.",None
366,"For example, you may not be able to add items to your shopping basket, proceed to checkout, or use any of our products and services that require you to sign",None
367,"

You can also manage advertising related Cookies used on our Services by opting out through the Service Providers listed in the table above or by visiting the YourOnlineChoices website.",None
368,"Where we display personalised adverts on other organisations’ websites, the AdChoices icon will usually be displayed.",None
369,Clicking on this icon will provide you with specific guidance on how to control your online advertising preferences.,None
370,More information is available on the YourAdChoices website.,None
371,"Mobile Apps

Cookies work differently on Mobile Apps as they are coded into the App itself and will use a unique identifier created by your mobile device for use for advertising activities.",None
372,You can turn off or reset this advertising identifier through your mobile device’s privacy settings.,None
373,"

However, please be aware that, if you refuse or disable cookies, some of the Site’s functionality may be lost.",None
374,"

Third party Cookies

With respect to cookies issued by third parties, only the third-party cookie issuer concerned is likely to read or change the items contained inside this cookie.",None
375,Tesco has no control over the cookies third parties are likely to install.,None
376,These third-party cookies are subject to the privacy statements of these third parties.,None
377,"To see their policy on personal data processing or to change the installation and storage settings of third-party cookies, the user is asked to contact these third parties:",None
378,"

Settings for audience measurement and statistics cookies:

Google Analytics
Adobe Analytics
Settings for advertising cookies and behavioural targeting:",None
379,"

AdRoll
TradeDoubler
Settings for social network cookies:",None
